<2024-01-08 15:54:20> Load machine configuration '../userdata/conf/machine.xml'
<2024-01-08 15:54:28> Load machine configuration '..\userdata\conf\machine_geov5.xml'
<2024-01-08 15:54:28> BT1 = X:-46.55967999999999, Y:13.754999999999994, T:-90.0, Val:CR2032, Mod:WURTH_CR2032_79527141
Q14 = X:-53.79720000000002, Y:91.6974, T:0.0, Val:NX2301P, Mod:SOT-23
Q15 = X:-47.904400000000024, Y:89.767, T:90.0, Val:BSS138, Mod:SOT-23
Q16 = X:-43.390000000000015, Y:119.86000000000001, T:0.0, Val:BSS138, Mod:SOT-23
R1 = X:-14.590000000000018, Y:111.02199999999999, T:-90.0, Val:1M 1%, Mod:R_0805_2012Metric
R2 = X:-6.590000000000017, Y:111.02199999999999, T:180.0, Val:2K 1%, Mod:R_0805_2012Metric
R3 = X:-63.038399000000005, Y:71.74632099999998, T:180.0, Val:120K 1%, Mod:R_0805_2012Metric
R4 = X:-62.23, Y:1.8899999999999892, T:180.0, Val:10K 1%, Mod:R_0805_2012Metric
R5 = X:-66.70040000000002, Y:94.19359999999999, T:0.0, Val:47K, Mod:R_0805_2012Metric
R6 = X:-72.14, Y:80.92439999999999, T:180.0, Val:22R, Mod:R_0805_2012Metric
R7 = X:-72.14, Y:78.38439999999999, T:180.0, Val:22R, Mod:R_0805_2012Metric
R8 = X:-59.5, Y:44.441999999999986, T:180.0, Val:120K 1%, Mod:R_0805_2012Metric
R9 = X:-43.275180000000006, Y:31.664999999999996, T:-90.0, Val:120K 1%, Mod:R_0805_2012Metric
R10 = X:-40.24886, Y:28.957599999999996, T:180.0, Val:1K 1%, Mod:R_0805_2012Metric
R11 = X:-40.786, Y:35.21639999999999, T:90.0, Val:120K 1%, Mod:R_0805_2012Metric
R12 = X:-73.51499999999999, Y:54.859999999999985, T:90.0, Val:1K 1%, Mod:R_0805_2012Metric
R13 = X:-73.54, Y:59.17399999999999, T:90.0, Val:1K 1%, Mod:R_0805_2012Metric
R14 = X:-62.23, Y:6.969999999999991, T:180.0, Val:1K 1%, Mod:R_0805_2012Metric
